rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
121,"spotify:track:6wHpLMmp98aHcV8L1JFrj8","Alex Warren","Eternity","Atlantic Records",11,77,19,"154785"
122,"spotify:track:7fUYUcWy853HS8YJn0b3Sr","The Ronettes","Sleigh Ride","Legacy Recordings",38,-1,34,"154223"
123,"spotify:track:5VdA5KgeVRUwBJrycciXp2","Adamson, Vaggvisor","Blinka lilla stjärna där","Filtr",89,104,85,"152692"
124,"spotify:track:315aBOUD3xtj7sUMXtRgMV","Benson Boone","In The Stars","Night Street Records, Inc./Warner Records Inc.",9,112,62,"151751"
125,"spotify:track:7AxXJXqJOMRqkgZxvG3r6E","Tate McRae","TRYING ON SHOES","RCA Records Label",125,-1,1,"150819"
126,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",18,81,21,"150543"
127,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",50,74,109,"149177"
128,"spotify:track:4nyY8oVjbX2d4qzlpiVM5n","Zara Larsson","Ruin My Life","Epic/Record Company TEN",3,173,33,"148810"
129,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,99,85,"147350"
130,"spotify:track:0ofHAoxe9vBkTCp2UQIavz","Fleetwood Mac","Dreams - 2004 Remaster","Rhino/Warner Records",34,90,60,"147012"
131,"spotify:track:1U49LNwMAgAwlLMQxeqWL6","Hov1, Seinabo Sey","Försent","Universal Music AB",3,107,70,"146530"
132,"spotify:track:5tPlyQbOZEucTEQYJeXuuz","Yasin","Hiphop N RnB","MadeNiggaMusic",5,93,251,"145610"
133,"spotify:track:1wOp7yTVyH176bW1z9WAiv","Alex Warren","Carry You Home","Atlantic Records",50,138,67,"145378"
134,"spotify:track:7HXUFIILHAhS6esiRy5Ibz","Ed Sheeran","Sapphire","Gingerbread Man Records / Atlantic Records UK",35,150,25,"144783"
135,"spotify:track:1yHJl9qbcH58PEHLiRlywQ","Hov1","Räddare i nöden","Universal Music AB",2,96,35,"144705"
136,"spotify:track:67mgz7S5y7hnCE63YBjfO6","Michael Bublé","Holly Jolly Christmas","Reprise",33,-1,41,"144681"
137,"spotify:track:4FGvRqZ1pPaflN2jjLBMB9","Yasin","Har Dig","GG",2,142,136,"144366"
138,"spotify:track:6nFn878G25w4W6diNSqAWX","Mandelmanns","Jul på Österlen","Cardiac Records",138,-1,1,"144275"
139,"spotify:track:254bXAqt3zP6P50BdQvEsq","Fleetwood Mac","Everywhere - 2017 Remaster","Rhino/Warner Records",84,102,28,"143817"
140,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",101,119,12,"143071"
141,"spotify:track:20gbEdrBCyHKJSRppVJYHl","Molly Sandén","Där runt hörnet","Milkshake",84,97,6,"142959"
142,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",72,120,20,"142300"
143,"spotify:track:0GRc3eGTg8HBdWLRGYgqIc","Ed Sheeran","Azizam","Gingerbread Man Records / Atlantic Records UK",8,145,34,"142193"
144,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",2,158,58,"141206"
145,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",12,92,22,"141048"
146,"spotify:track:5PN2MalKA4A5J4y2w8pQ7o","Albatraoz","Raggar-Ren","House of Albatraoz",49,-1,11,"140930"
147,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",11,164,51,"140841"
148,"spotify:track:2Dgtohm7FzXqQP1rptZGt0","Nuqi","Mina tankar","Justja",148,-1,1,"140412"
149,"spotify:track:73rX5edWMVRDRTmy1UtImA","Kaptenen, DIREKTÖREN","PSYKOPAT","Kaptenen",38,108,7,"139176"
150,"spotify:track:5e9TFTbltYBg2xThimr0rU","Fleetwood Mac","The Chain - 2004 Remaster","Rhino/Warner Records",91,106,17,"137912"
151,"spotify:track:66tlRqExpkn4kRyuxelzs5","Tate McRae","ANYTHING BUT LOVE","RCA Records Label",151,-1,1,"137533"
152,"spotify:track:0foIQptmBltqQC1MLhHV9E","My & Mats","Nu i ro slumra in","Filtr Kids",113,133,62,"137417"
153,"spotify:track:72gv4zhNvRVdQA0eOenCal","Clean Bandit, Zara Larsson","Symphony (feat. Zara Larsson)","Atlantic Records UK",1,-1,65,"137118"
154,"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Vance Joy","Riptide","Atlantic Records",43,110,114,"136738"
155,"spotify:track:1iFCkLGPtg4i7n3uwGYzCS","Shiro, Lekaye","två","Universal Music AB",155,-1,1,"136573"
156,"spotify:track:6l0X9YwSlI3FT2ds8nNz4z","Soppgirobygget","Viva La Vida","Soppgiro inc. In Collaboration With Liso Records",2,155,78,"136477"
157,"spotify:track:3SjXx3rbNGk8nCho8YEoz5","Håkan Hellström","Det kommer aldrig va över för mig","Universal Music AB",9,130,213,"136025"
158,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",42,113,315,"135777"
159,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",104,131,15,"135692"
160,"spotify:track:2gwirjNHYJPlBwOJ5Aftwv","Albin Lee Meldau","Josefin","Mayfly Recordings",9,125,237,"135030"
161,"spotify:track:0XoGiZY2XtBW5qXB3ZzZOX","Tommy Körberg","O helga natt","WM Sweden",16,-1,40,"134681"
162,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",22,122,59,"134283"
163,"spotify:track:3EwHH3eGCGvuGkRWHfWJmD","Humlan Djojj, Josefine Götestam","Drömmer du om mig?","Filtr Kids",139,156,6,"134166"
164,"spotify:track:3DwQ7AH3xGD9h65ezslm6q","Metallica","Enter Sandman - Remastered 2021","Blackened Recordings / Universal Music",117,117,22,"133589"
165,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",165,-1,2,"132926"
166,"spotify:track:6HSXNV0b4M4cLJ7ljgVVeh","Bob Dylan","Knockin' On Heaven's Door","Columbia/Legacy",49,118,28,"132574"
167,"spotify:track:4ZJ4vzLQekI0WntDbanNC7","Zach Bryan","Pink Skies","Warner Records",69,139,54,"132235"
168,"spotify:track:1aEU7mcRDTYBB4ASpqbjYE","Hov1","Hon dansar vidare i livet","Universal Music AB",1,154,341,"132093"
169,"spotify:track:7J1uxwnxfQLu4APicE5Rnj","Michael Jackson","Billie Jean","Epic",81,94,21,"131577"
170,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",14,136,25,"131396"
171,"spotify:track:2ipIPsgrgd0j2beDf4Ki70","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",80,98,30,"131042"
172,"spotify:track:3tgDP0BTRP10i4HkLlAER3","Niklas Strömstedt","Om","WM Sweden",5,166,31,"130391"
173,"spotify:track:5LWIYnZtbufJ1Mtrv0vWtU","Nuqi, Jireel","Ay Ay","Justja AB",37,134,19,"130121"
174,"spotify:track:6zsRlxuaMDtffiAk9FtkUg","Carola","Hej mitt vinterland","Rival Records",44,-1,22,"130074"
175,"spotify:track:57bgtoPSgt236HzfBOd8kj","AC/DC","Thunderstruck","Columbia",52,126,48,"129133"
176,"spotify:track:6Wxn79EwKPQvYerlctheGx","Ariana Grande","The Girl in the Bubble","Wicked Soundtrack",176,-1,1,"128273"
177,"spotify:track:2uIX8YMNjGMD7441kqyyNU","Billie Eilish","ocean eyes","Darkroom",105,143,32,"127604"
178,"spotify:track:36vmaZyO0iAE6FZ7287fg2","Olivia Dean","Dive","PLG - Capitol",118,165,8,"127297"
179,"spotify:track:1WwQ714xuznu44tEnkem2g","HAVEN., Kaitlin Aragon","I Run","Isekai / Broke / AAO",41,-1,2,"127212"
180,"spotify:track:0hSBZP9SodLCOLWmfgK9MK","Miss Li","Den vintertid nu kommer","Pistol Packin' Music",23,-1,39,"126881"
181,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",181,-1,1,"126657"
182,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",49,-1,28,"126346"
183,"spotify:track:2T8yuUKl1nhmtaIocqWo4i","ROSALÍA, Björk, Yves Tumor","Berghain","Columbia",48,87,4,"126207"
