rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
188,"spotify:track:2SIn4GfX7nAEQZ9abmHWbr","Anton Westerlin, Lamin, ozzy","Entré (feat. Lamin & ozzy)","Universal Music A/S",1,118,38,"79863"
189,"spotify:track:5RR4sBH4TRqyFp386kf99d","Gilli","Knokler Hårdt","disco:wax",46,148,103,"79783"
190,"spotify:track:3cPoiK69oQ1SdbB2j2ulGm","Olivia Dean","The Hardest Part","PLG - Capitol",125,156,12,"79603"
191,"spotify:track:4fPrWkDWkW0BpYlfDu1M0P","Alexander Oscar","This Christmas","Universal Music A/S",81,-1,22,"79561"
192,"spotify:track:3GZD6HmiNUhxXYf8Gch723","Frank Ocean","Lost","Red Zone Entertainment / IDJ",27,131,174,"79478"
193,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",9,145,101,"79004"
194,"spotify:track:1IUtgwxLYzDVd41EgbKUjX","Justin Bieber, Mariah Carey","All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey","RBMG/Def Jam",97,-1,27,"78672"
195,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",71,134,72,"78448"
196,"spotify:track:7aAA31q5yItwIp1F06bPhC","Rasmus Seebach","Lidt I Fem","Universal Music AB",181,200,3,"78351"
197,"spotify:track:6kqqErlEe7aIrUZztf5skM","Berg","10 ud af 10","Sony Music Entertainment",9,141,23,"78230"
198,"spotify:track:65KKHRycAHzSGkwsLX87gu","Annika, Gilli","Bar bund (feat. Gilli)","Universal Music A/S",3,133,30,"78143"
199,"spotify:track:6xVtp04jMDg8mFtqGBLUT9","Svea S, Berg, Klamfyr","Spotlight (feat. Berg & Klamfyr)","Universal Music A/S",10,151,18,"78066"
200,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",130,130,2,"78039"
