rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
144,"spotify:track:3Vd4fHzwS6pBS3muymjiDi","Olivia Dean","Let Alone The One You Love","PLG - Capitol",122,175,6,"88818"
145,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",4,120,80,"88557"
146,"spotify:track:3unY0p45pcQVnABntzlX8B","Tate McRae","HORSESHOE","RCA Records Label",146,-1,1,"88157"
147,"spotify:track:76faIQoGutZKFU4KJl1XLi","Roc Boyz","Wreckonize","Roc Boyz",99,125,54,"87823"
148,"spotify:track:1Ia7Mk2djngsXBlVWf28NJ","Streetboys","Misforstått (Juggernaut)","MMM",4,79,26,"87452"
149,"spotify:track:5dFiYQhdBpI3P4VBoQUAdC","GOLF","Puslespillet","Distortion Label",22,87,5,"87128"
150,"spotify:track:09NperpaQcPrGQyheqzo4z","Marcus & Martinus","Alt jeg ønsker meg","RCA Records Label",62,-1,36,"86954"
151,"spotify:track:5sBDrrtLGbV64QJnEqfjer","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","What It Sounds Like","K-Pop Demon Hunters",16,103,22,"86766"
152,"spotify:track:3WMj8moIAXJhHsyLaqIIHI","Zach Bryan","Something in the Orange","Warner Records",73,179,89,"86675"
153,"spotify:track:7D4C0tB0unuSzCguxyHp0r","Hanne Krogh","Vi Tenner Våre Lykter","HK Productions AS",45,-1,36,"86432"
154,"spotify:track:5icMVddPJD8okw9U8E0tVZ","Fay Wildhagen, SKAAR","Når himmelen faller ned","Drabant Music",54,-1,11,"86177"
155,"spotify:track:4nyY8oVjbX2d4qzlpiVM5n","Zara Larsson","Ruin My Life","Epic/Record Company TEN",12,-1,36,"85922"
156,"spotify:track:3vZFG25FQOhJh1mmR3dwB1","Emma Steinbakken","Stay With Me (From the Original Netflix Series ""Home For Christmas Season 2"")","WM Norway",16,132,18,"85681"
157,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",36,115,140,"85055"
158,"spotify:track:4qfRVjN1pI0LrKRNxQ1JwQ","Brannbamsen Bjørnis","Her kommer Bjørnis","587781 Records DK",73,159,39,"84875"
159,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","JRC Entertainment, LLC / ILH Production Co. LLC / Def Jam Recordings",4,118,20,"84422"
160,"spotify:track:2sglQ4dXRweQoFkpSNjEzw","Tobias Sten","Gult og blått","Universal Music AS",39,141,25,"84365"
161,"spotify:track:1lJOLxDS8kS2rihrqezMcv","EsDeeKid","Century","Lizzy Records",161,-1,1,"84060"
162,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",75,129,43,"83685"
163,"spotify:track:4tHqQMWSqmL6YjXwsqthDI","John Williams","Carol of the Bells (From ""Home Alone"" Soundtrack)","Masterworks",46,-1,9,"83669"
164,"spotify:track:2pkvOTNTNdzEoZB05YdoT7","Roc Boyz","What Up World","Roc Boyz",87,172,38,"83511"
165,"spotify:track:65DiOf0CDNbtFIDPM4XVJe","Konen på torget","Tenke på en venn","Universal Music AS",97,-1,23,"83166"
166,"spotify:track:4WJcOzrNVgHMGS5zgnU6pS","Eva Weel Skram","Romjulsdrøm","WM Norway",42,-1,25,"82982"
167,"spotify:track:792FHkvZbBQuWWM1a4TfL8","Alex Warren","Before You Leave Me","Atlantic Records",9,153,87,"82604"
168,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",3,186,63,"82594"
169,"spotify:track:7Ivelh8N9J25Yj9KKxYj6w","Michael Bublé","Santa Claus Is Coming to Town","Reprise",43,-1,36,"82415"
170,"spotify:track:6yA2GnuThv4oDuEimu4Rmg","SIENNA SPIRO","MAYBE.","Sienna Spiro",99,149,16,"82008"
171,"spotify:track:5iRUvTV2P5VmyJHzZNApOk","Hanne Krogh","Sonjas Sang Til Julestjernen","HK Productions AS",54,-1,38,"81597"
172,"spotify:track:3HfKlhohNNTLIv2t9uvmzz","NF","FEAR","NF Real Music II",136,136,2,"81537"
173,"spotify:track:1N1ZpYUJc9fwrqk53FGgWv","Sia","Santa's Coming for Us","Monkey Puzzle/Atlantic",38,-1,43,"81451"
174,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",21,117,170,"81441"
175,"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Dire Straits","Sultans Of Swing","EMI",82,170,64,"81412"
176,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",176,-1,2,"80889"
177,"spotify:track:15zJeVUmKFnbrxm9dxcxYD","Benson Boone","Sorry I'm Here For Someone Else","Night Street Records, Inc./Warner Records Inc.",23,67,39,"80479"
178,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",3,135,67,"80397"
179,"spotify:track:3ZaEs1O8BG581qYPHpQ8d6","A$AP Rocky, Imogen Heap, Clams Casino","I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Worldwide/RCA Records",64,131,72,"80127"
180,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",103,152,19,"79694"
181,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,190,58,"79379"
182,"spotify:track:5e9TFTbltYBg2xThimr0rU","Fleetwood Mac","The Chain - 2004 Remaster","Rhino/Warner Records",102,139,13,"79376"
183,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",7,165,63,"79191"
184,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",95,158,14,"79183"
185,"spotify:track:7fUYUcWy853HS8YJn0b3Sr","The Ronettes","Sleigh Ride","Legacy Recordings",53,-1,30,"79115"
186,"spotify:track:4PtFehKH1ric4In2Mc5Asg","Chris Holsten","Oppe på månen","WM Norway",34,148,10,"78777"
187,"spotify:track:1juGD1xfrdSPzSrumy0M03","Storm Barnesanger","På Låven Sitter Nissen","Storm Barnesanger",64,-1,16,"78513"
188,"spotify:track:5SayaGvDWXOnFjPKWml9P9","Travellin' Strawberries","The Støvel Dance","Music Manager",63,-1,32,"78200"
189,"spotify:track:2qPQcfUgizNDOIv1orkTAd","Alex Warren, Jelly Roll","Bloodline","Atlantic Records",8,144,27,"78107"
190,"spotify:track:5fZJQrFKWQLb7FpJXZ1g7K","Shaboozey","A Bar Song (Tipsy)","American Dogwood / EMPIRE",1,150,85,"77680"
191,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",88,146,97,"77555"
192,"spotify:track:1LGyKmWSD8xmGSWm1oKqYG","Synne Vo","Her vil e vær","WM Norway",6,130,33,"77542"
193,"spotify:track:3RXUgPNIbUgFxsDWuBQEt6","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","How It’s Done","K-Pop Demon Hunters",12,124,22,"77226"
194,"spotify:track:0ARPFpJeBfsRmwrrzdvrls","Rotlaus","Rundt neste sving","Universal Music AS",72,183,338,"77011"
195,"spotify:track:6Bw5hKNyFd3O1D6ofOdHtO","Oslo Gospel Choir, Maria Haukaas Mittet","Nordnorsk julesalme","Universal Music AS",69,-1,36,"76917"
196,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",196,-1,1,"76656"
197,"spotify:track:7MmG8p0F9N3C4AXdK6o6Eb","Calvin Harris, Ellie Goulding","Outside (feat. Ellie Goulding)","Columbia",114,140,41,"76602"
198,"spotify:track:0je57Uq5eTk1wrPzn9sWbl","Sabrina Carpenter","When Did You Get Hot?","Island Records",26,145,13,"75780"
199,"spotify:track:1LY3GhF0zxIVgbYEQjCbUO","Disturbed, CYRIL","The Sound of Silence - CYRIL Remix","Spinnin' Records",12,-1,94,"74839"
200,"spotify:track:42VUCXerQ5qTr4Qp6PhKo4","Sabrina Carpenter","Tears","Island Records",8,128,13,"74796"
