rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
157,"spotify:track:3oGV3fvu4Lf7O1hKsvbtvE","Isac Elliot","Skaala","Universal Music Oy",35,154,106,"58809"
158,"spotify:track:4082NVpgc5vVdFu5rQKeoV","emma & matilda","Aaltoihin uupunut","WM Finland",32,156,6,"58768"
159,"spotify:track:3qCeq0rWK67SoBDgFd2sId","José Feliciano","Feliz Navidad","RCA Records Label",8,-1,33,"58571"
160,"spotify:track:0PWIrADNjGpiXA3EGjIbTW","pehmoaino","maasta taivaaseen","Sony Music Entertainment Finland",12,147,101,"58454"
161,"spotify:track:46wULtWD6WHdbYNXk2KLMJ","Vesta","Ota varovasti","WM Finland",19,158,94,"58213"
162,"spotify:track:1nPpePTiMAxYBTWjQIKmul","Ellinoora","Ahdistuksen aika","WM Finland",10,-1,8,"58139"
163,"spotify:track:0aLV2IaAn79c588GyX2udS","Davy, OLGA, Victor Nordis","Supermalli","Universal Music Oy",40,148,22,"58133"
164,"spotify:track:3DwQ7AH3xGD9h65ezslm6q","Metallica","Enter Sandman - Remastered 2021","Blackened Recordings / Universal Music",103,145,27,"57501"
165,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",21,143,128,"57440"
166,"spotify:track:4Ip1CSS61Oh3EUpDWRvpB8","ibe, Ares","ikilapsi","ibe",4,95,25,"57392"
167,"spotify:track:2uiEobfJjNiKLff29tGbhR","Isac Elliot","Kipinä","WM Finland",21,149,14,"57375"
168,"spotify:track:7tvHcZM7GcXJQ1rKWuwRgp","Stray Kids","DIVINE","Republic Records - Stray Kids",168,-1,1,"57326"
169,"spotify:track:3yHIxHuTIYF0pLFJ9DEKGy","SINI YASEMIN","Päin helvettii","Playground Music",169,-1,1,"57237"
170,"spotify:track:3YnOEMNkFgxivVVBrPciDR","Cheek","Avaimet mun kiesiin - Radio Edit","Columbia",60,161,44,"57236"
171,"spotify:track:6x1eIve6hWWsy91plInMcb","Ira","Meistä Kertova Satu","Ira",171,-1,1,"57207"
172,"spotify:track:1rV8BXAA1yGPpPzsnP1iyP","Eppu Normaali","Tahroja Paperilla","POKO",110,138,28,"57173"
